bundle_id,bundle_name,refset_name,refset_url,score
47,Mild impairment due to neonatal tetanus,Diphtheria tetanus pertussis polio containing vaccine contraindications,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/dtapipvcon_cod/20250627/,0.1
47,Mild impairment due to neonatal tetanus,Diphtheria tetanus and pertussis containing vaccine contraindication codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/dtpcon_cod/20250627/,0.1
50,Herpes zoster incidence,Live herpes zoster vaccination codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/hzlive_cod/20250627/,0.3333333333333333
50,Herpes zoster incidence,Recombinant herpes zoster first vaccination codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/shvacgp1_cod/20250627/,0.2857142857142857
50,Herpes zoster incidence,Recombinant herpes zoster second vaccination codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/shvacgp2_cod/20250627/,0.2857142857142857
50,Herpes zoster incidence,Live herpes zoster vaccination codes (obsolete),https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/hzlive_cod/20250627/,0.2857142857142857
50,Herpes zoster incidence,Recombinant herpes zoster first vaccination codes (obsolete),https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/recombinant-herpes-zoster-first-vaccination-codes/20241205/,0.25
50,Herpes zoster incidence,Recombinant herpes zoster second vaccination codes (obsolete),https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/recombinant-herpes-zoster-second-vaccination-codes/20241205/,0.25
60,Symptomatic cystic echinococcosis,Cystic fibrosis related diabetes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/cfdm_cod/20250627/,0.16666666666666666
60,Symptomatic cystic echinococcosis,Cystic fibrosis related diabetes (obsolete),https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/cfdm_cod/20250627/,0.14285714285714285
64,Vision impairment due to trachoma unsqueezed DEPRECATED,Mild Cognitive Impairment codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/mci_cod/20250627/,0.125
64,Vision impairment due to trachoma unsqueezed DEPRECATED,Mild Cognitive Impairment codes (obsolete),https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/mci_cod/20250627/,0.1111111111111111
75,Hypertensive disorders of pregnancy,Lymphoproliferative disorders,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/lymphoproldis_cod/20250627/,0.25
75,Hypertensive disorders of pregnancy,Rheumatoid arthritis disorders,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/c19rarth_cod/20250627/,0.2
75,Hypertensive disorders of pregnancy,Complement disorder codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/complementdis_cod/20250627/,0.2
75,Hypertensive disorders of pregnancy,Lymphoproliferative disorders (obsolete),https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/lymphoproldis_cod/20250627/,0.2
75,Hypertensive disorders of pregnancy,Eating disorder codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/eatdisorder_cod/20250627/,0.2
75,Hypertensive disorders of pregnancy,Hypopituitary disorder codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/hypopituitary_cod/20250627/,0.2
77,"Obstructed labor, acute event",Acute confusion codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/acconfus_cod/20250627/,0.16666666666666666
80,Neonatal preterm and LBWSG (Raw data) - Extreme prematurity; gestational age (GA) <28 weeks,Gestational Diabetes Codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/gestdiab_cod/20250627/,0.07692307692307693
80,Neonatal preterm and LBWSG (Raw data) - Extreme prematurity; gestational age (GA) <28 weeks,Dissent from secondary use of GP patient identifiable data,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/pobjec_cod/20200812/,0.058823529411764705
80,Neonatal preterm and LBWSG (Raw data) - Extreme prematurity; gestational age (GA) <28 weeks,Dissent withdrawn from secondary use of GP patient identifiable data,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/pobjecw_cod/20241205/,0.05555555555555555
92,Prevalence of neonatal sepsis and other neonatal infections,MenACWY other healthcare provider vaccination codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/menacwyohp_cod/20250627/,0.1111111111111111
92,Prevalence of neonatal sepsis and other neonatal infections,Foot ulcer or infection or ischaemia codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/footulcerinfectisch_cod/20250627/,0.1111111111111111
92,Prevalence of neonatal sepsis and other neonatal infections,Other ethnic group Any other ethnic group ethnicity group codes (2016 grouping),https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/eth2016oo_cod/20250627/,0.1
92,Prevalence of neonatal sepsis and other neonatal infections,Shingles other healthcare provider vaccination codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/shvacohp_cod/20250627/,0.1
92,Prevalence of neonatal sepsis and other neonatal infections,Foot ulcer or infection or ischaemia codes (obsolete),https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/footulcerinfectisch_cod/20250627/,0.1
93,Goiter due to iodine deficiency,Acquired immune deficiency syndrome (AIDS) codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/aids_cod/20250627/,0.125
93,Goiter due to iodine deficiency,Acquired immune deficiency syndrome (AIDS) codes (obsolete),https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/aids_cod/20250627/,0.1111111111111111
95,Adult tertiary syphilis (DisMod-MR),Adult and child psoriasis codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/psoriasis_cod/20250627/,0.125
95,Adult tertiary syphilis (DisMod-MR),Adult and child psoriasis codes (obsolete),https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/adult-and-child-psoriasis-codes/20241205/,0.1111111111111111
96,Chlamydial infection (DisMod-MR),Foot ulcer or infection or ischaemia codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/footulcerinfectisch_cod/20250627/,0.125
96,Chlamydial infection (DisMod-MR),Foot ulcer or infection or ischaemia codes (obsolete),https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/footulcerinfectisch_cod/20250627/,0.1111111111111111
96,Chlamydial infection (DisMod-MR),Flu-like symptoms and upper and lower respiratory tract infection codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/c19flurti_cod/20250627/,0.08333333333333333
96,Chlamydial infection (DisMod-MR),Codes relating to COVID19 risk indicators of infection activities regarding COVID19 and long COVID management and assessment,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/c19activity_cod/20250627/,0.06666666666666667
96,Chlamydial infection (DisMod-MR),"Codes relating to COVID19 risk, indicators of infection, activities regarding COVID19, and long COVID management and assessment (obsolete)",https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/codes-relating-to-covid19-risk-indicators-of-infection-activities-regarding-covid19-and-long-covid-management-and-assessment/20241205/,0.0625
97,Gonococcal infection DEPRECATED,Foot ulcer or infection or ischaemia codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/footulcerinfectisch_cod/20250627/,0.14285714285714285
97,Gonococcal infection DEPRECATED,Foot ulcer or infection or ischaemia codes (obsolete),https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/footulcerinfectisch_cod/20250627/,0.125
97,Gonococcal infection DEPRECATED,Flu-like symptoms and upper and lower respiratory tract infection codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/c19flurti_cod/20250627/,0.09090909090909091
97,Gonococcal infection DEPRECATED,Codes relating to COVID19 risk indicators of infection activities regarding COVID19 and long COVID management and assessment,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/c19activity_cod/20250627/,0.07142857142857142
97,Gonococcal infection DEPRECATED,"Codes relating to COVID19 risk, indicators of infection, activities regarding COVID19, and long COVID management and assessment (obsolete)",https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/codes-relating-to-covid19-risk-indicators-of-infection-activities-regarding-covid19-and-long-covid-management-and-assessment/20241205/,0.06666666666666667
98,Trichomoniasis infection (DisMod-MR),Foot ulcer or infection or ischaemia codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/footulcerinfectisch_cod/20250627/,0.125
98,Trichomoniasis infection (DisMod-MR),Foot ulcer or infection or ischaemia codes (obsolete),https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/footulcerinfectisch_cod/20250627/,0.1111111111111111
98,Trichomoniasis infection (DisMod-MR),Flu-like symptoms and upper and lower respiratory tract infection codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/c19flurti_cod/20250627/,0.08333333333333333
98,Trichomoniasis infection (DisMod-MR),Codes relating to COVID19 risk indicators of infection activities regarding COVID19 and long COVID management and assessment,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/c19activity_cod/20250627/,0.06666666666666667
98,Trichomoniasis infection (DisMod-MR),"Codes relating to COVID19 risk, indicators of infection, activities regarding COVID19, and long COVID management and assessment (obsolete)",https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/codes-relating-to-covid19-risk-indicators-of-infection-activities-regarding-covid19-and-long-covid-management-and-assessment/20241205/,0.0625
99,Genital herpes DEPRECATED,Live herpes zoster vaccination codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/hzlive_cod/20250627/,0.14285714285714285
99,Genital herpes DEPRECATED,Recombinant herpes zoster first vaccination codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/shvacgp1_cod/20250627/,0.125
99,Genital herpes DEPRECATED,Recombinant herpes zoster second vaccination codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/shvacgp2_cod/20250627/,0.125
99,Genital herpes DEPRECATED,Live herpes zoster vaccination codes (obsolete),https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/hzlive_cod/20250627/,0.125
99,Genital herpes DEPRECATED,Recombinant herpes zoster first vaccination codes (obsolete),https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/recombinant-herpes-zoster-first-vaccination-codes/20241205/,0.1111111111111111
99,Genital herpes DEPRECATED,Recombinant herpes zoster second vaccination codes (obsolete),https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/recombinant-herpes-zoster-second-vaccination-codes/20241205/,0.1111111111111111
111,Basal cell carcinoma,Non-haematological cancer morphology codes excluding skin basal cell and squamous cancers,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/nhaemcanmorph_cod/20250627/,0.16666666666666666
111,Basal cell carcinoma,Sickle cell disease codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/sickle_cod/20250627/,0.16666666666666666
111,Basal cell carcinoma,Sickle cell disease codes (obsolete),https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/sickle_cod/20250627/,0.14285714285714285
111,Basal cell carcinoma,Giant Cell Arteritis (GCA) codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/gca_cod/20250627/,0.14285714285714285
111,Basal cell carcinoma,Allograft stem cell transplant codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/allotransp_cod/20250627/,0.14285714285714285
111,Basal cell carcinoma,Autograft stem cell transplant codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/autotransp_cod/20250627/,0.14285714285714285
113,Rheumatic heart disease including heart failure,Heart failure codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/hf_cod/20250627/,0.3333333333333333
113,Rheumatic heart disease including heart failure,Congenital heart disease codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/c19heart_cod/20250627/,0.2857142857142857
113,Rheumatic heart disease including heart failure,Chronic heart disease codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/chronhd_cod/20250627/,0.2857142857142857
113,Rheumatic heart disease including heart failure,Heart failure resolved codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/hfres_cod/20250627/,0.2857142857142857
113,Rheumatic heart disease including heart failure,Heart failure review codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/hfrvw_cod/20250627/,0.2857142857142857
115,Angina due to ischemic heart disease,Congenital heart disease codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/c19heart_cod/20250627/,0.3333333333333333
115,Angina due to ischemic heart disease,Chronic heart disease codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/chronhd_cod/20250627/,0.3333333333333333
115,Angina due to ischemic heart disease,Coronary heart disease (CHD) codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/chd_cod/20250627/,0.2857142857142857
115,Angina due to ischemic heart disease,Coronary heart disease (CHD) exception codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/chdexc_cod/20250627/,0.25
115,Angina due to ischemic heart disease,Invite for coronary heart disease (CHD) care review codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/chdinvite_cod/20250627/,0.2
116,Cerebrovascular disease acute,Acute confusion codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/acconfus_cod/20250627/,0.2
116,Cerebrovascular disease acute,Kawasaki disease codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/kawasaki_cod/20250627/,0.2
116,Cerebrovascular disease acute,Grave’s disease codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/gravesdis_cod/20250627/,0.2
116,Cerebrovascular disease acute,Mitochondrial disease codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/mitochond_cod/20250627/,0.2
116,Cerebrovascular disease acute,Huntington’s disease codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/hunt_cod/20250627/,0.2
116,Cerebrovascular disease acute,Crohns disease codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/crohns_cod/20250627/,0.2
116,Cerebrovascular disease acute,Coeliac disease codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/coeliac_cod/20250627/,0.2
118,Acute myocarditis,Acute confusion codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/acconfus_cod/20250627/,0.25
119,Atrial fibrillation and flutter,History of Atrial fibrillation or flutter codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/afhist_cod/20250627/,0.6
119,Atrial fibrillation and flutter,Atrial fibrillation codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/afib_cod/20250627/,0.5
119,Atrial fibrillation and flutter,History of Atrial fibrillation or flutter codes (obsolete),https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/history-of-atrial-fibrillation-or-flutter-codes/20241205/,0.5
119,Atrial fibrillation and flutter,Electrocardiogram (ECG) indicating atrial fibrillation or flutter codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/ecgaf_cod/20250627/,0.42857142857142855
119,Atrial fibrillation and flutter,Atrial fibrillation resolved codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/afibres_cod/20250627/,0.4
119,Atrial fibrillation and flutter,Atrial fibrillation monitoring and review codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/afmon_cod/20250627/,0.3333333333333333
148,Multiple sclerosis,Multiple sclerosis codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/ms_cod/20250627/,0.6666666666666666
148,Multiple sclerosis,Multiple sclerosis codes (obsolete),https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/ms_cod/20250627/,0.5
148,Multiple sclerosis,Liver sclerosis diagnosis codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/livsclerosis_cod/20250627/,0.2
148,Multiple sclerosis,Liver sclerosis diagnosis codes (obsolete),https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/livsclerosis_cod/20250627/,0.16666666666666666
148,Multiple sclerosis,Mixed or multiple ethnic groups Any other Mixed or multiple ethnic background ethnicity group codes (2016 grouping),https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/eth2016mo_cod/20250627/,0.1
148,Multiple sclerosis,Mixed or multiple ethnic groups White and Asian ethnicity group codes (2016 grouping),https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/eth2016mwa_cod/20250627/,0.1
149,Migraine cases,Social prescribing case closed codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/socprescc_cod/20250627/,0.16666666666666666
150,Tension-type headache cases,Codes for type 1 diabetes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/dmtype1_cod/20250627/,0.16666666666666666
150,Tension-type headache cases,Codes for diabetes type 2,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/dmtype2_cod/20250627/,0.16666666666666666
150,Tension-type headache cases,Codes for diabetes (non-type 1),https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/dmnontype1_cod/20250627/,0.125
150,Tension-type headache cases,Social prescribing case closed codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/socprescc_cod/20250627/,0.125
150,Tension-type headache cases,Type 2 diabetes in the young review codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/dm2yngrvw_cod/20250627/,0.125
151,Probable medication overuse headache cases (no longer use),No longer a carer codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/notacarer_cod/20250627/,0.2
151,Probable medication overuse headache cases (no longer use),Medication checked codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/medchk_cod/20250627/,0.1
151,Probable medication overuse headache cases (no longer use),Medication review codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/medrvw_cod/20250627/,0.1
151,Probable medication overuse headache cases (no longer use),Change of medication codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/chngmed_cod/20250627/,0.1
151,Probable medication overuse headache cases (no longer use),Dementia medication review codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/demmedrvw_cod/20250627/,0.09090909090909091
151,Probable medication overuse headache cases (no longer use),Structured medication review codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/structmedrvw_cod/20250627/,0.09090909090909091
152,Schizophrenia,Psychosis and schizophrenia and bipolar affective disease codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/mh_cod/20250627/,0.16666666666666666
153,Alcohol dependence cases,Alcohol consumption codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/alc_cod/20250627/,0.2
153,Alcohol dependence cases,Alcohol Intervention and Advice codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/alcoholint_cod/20250627/,0.16666666666666666
153,Alcohol dependence cases,Excessive alcohol consumption codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/excessalc_cod/20250627/,0.16666666666666666
158,Cannabis use disorders cases,Alcohol Use Disorders Identification Test (AUDIT) codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/audit_cod/20250627/,0.2222222222222222
158,Cannabis use disorders cases,Lymphoproliferative disorders,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/lymphoproldis_cod/20250627/,0.2
158,Cannabis use disorders cases,Alcohol Use Disorders Identification Test Consumption (AUDIT C) codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/auditc_cod/20250627/,0.18181818181818182
161,Bipolar disorder,Lymphoproliferative disorders,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/lymphoproldis_cod/20250627/,0.3333333333333333
161,Bipolar disorder,Rheumatoid arthritis disorders,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/c19rarth_cod/20250627/,0.25
161,Bipolar disorder,Complement disorder codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/complementdis_cod/20250627/,0.25
161,Bipolar disorder,Lymphoproliferative disorders (obsolete),https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/lymphoproldis_cod/20250627/,0.25
161,Bipolar disorder,Eating disorder codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/eatdisorder_cod/20250627/,0.25
161,Bipolar disorder,Hypopituitary disorder codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/hypopituitary_cod/20250627/,0.25
162,Anxiety disorders cases,Lymphoproliferative disorders,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/lymphoproldis_cod/20250627/,0.25
162,Anxiety disorders cases,Anxiety screening codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/anxscrn_cod/20250627/,0.2
162,Anxiety disorders cases,Rheumatoid arthritis disorders,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/c19rarth_cod/20250627/,0.2
162,Anxiety disorders cases,Complement disorder codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/complementdis_cod/20250627/,0.2
162,Anxiety disorders cases,Lymphoproliferative disorders (obsolete),https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/lymphoproldis_cod/20250627/,0.2
162,Anxiety disorders cases,Eating disorder codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/eatdisorder_cod/20250627/,0.2
162,Anxiety disorders cases,Hypopituitary disorder codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/hypopituitary_cod/20250627/,0.2
162,Anxiety disorders cases,Anxiety resolved codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/anxres_cod/20250627/,0.2
162,Anxiety disorders cases,Anxiety diagnostic codes,https://opencodelists.org/codelist/nhsd-primary-care-domain-refsets/anx_cod/20250627/,0.2
